Make,Model,Year,MSRP
Volkswagen,Phaeton,2006,101300
Volkswagen,Phaeton,2005,100800
Cadillac,XLR-V,2008,100660
Mercedes-Benz,E-Class,2015,100600
Land Rover,Range Rover,2014,100100
Land Rover,Range Rover,2014,100100
Mercedes-Benz,GLE-Class,2016,99950
Maserati,GranSport,2006,99900
Maserati,Quattroporte,2016,99900
Mercedes-Benz,S-Class,2017,99600
BMW,6 Series,2017,99500
BMW,6 Series,2016,99200
Cadillac,XLR-V,2008,99160
Land Rover,Range Rover,2015,98995
Porsche,911,2015,98900
Porsche,911,2016,98900
Maserati,GranSport,2006,98872
BMW,X5 M,2017,98800
BMW,X5 M,2016,98800
BMW,X5 M,2015,98700
Mercedes-Benz,S-Class,2016,98650
Porsche,911,2016,98500
Mercedes-Benz,M-Class,2015,98400
Porsche,Panamera,2016,98300
Porsche,Panamera,2015,98300
Aston Martin,V8 Vantage,2015,98200
Maserati,GranSport,2005,98172
BMW,6 Series,2015,97900
Cadillac,Escalade ESV,2017,97795
BMW,7 Series,2017,97600
Cadillac,XLR-V,2007,97460
BMW,7 Series,2016,97400
Mercedes-Benz,S-Class,2015,97400
Dodge,SRT Viper,2013,97395
Mercedes-Benz,M-Class,2014,97250
Porsche,Cayenne,2017,97200
Volkswagen,Phaeton,2006,96600
Mercedes-Benz,S-Class,2017,96600
BMW,6 Series,2017,96500
Porsche,911,2017,96300
Porsche,911,2016,96200
BMW,6 Series,2016,96200
Porsche,911,2015,96200
Volkswagen,Phaeton,2005,96100
Mercedes-Benz,M-Class,2013,96100
Dodge,Viper,2017,95895
Dodge,Viper,2016,95895
Dodge,Viper,2017,95895
Dodge,Viper,2016,95895
Mercedes-Benz,S-Class,2016,95650
Porsche,Cayenne,2016,95500
Land Rover,Range Rover,2015,95195
Cadillac,Escalade ESV,2017,95195
Dodge,Viper,2015,94995
Dodge,Viper,2015,94995
Cadillac,Escalade ESV,2016,94950
BMW,6 Series,2015,94900
Cadillac,Escalade ESV,2015,94875
Porsche,911,2016,94800
Cadillac,Escalade,2017,94795
BMW,7 Series,2017,94600
Volkswagen,Phaeton,2004,94600
Mercedes-Benz,S-Class,2015,94400
BMW,7 Series,2016,94400
BMW,6 Series Gran Coupe,2017,94200
BMW,M5,2016,94100
BMW,7 Series,2015,94000
BMW,6 Series Gran Coupe,2016,93900
Mercedes-Benz,GLS-Class,2017,93850
BMW,M5,2015,93600
Mercedes-Benz,E-Class,2015,93600
Land Rover,Range Rover,2016,93450
Tesla,Model S,2014,93400
Land Rover,Range Rover Sport,2016,93295
Lotus,Esprit,2004,93225
Porsche,Panamera,2016,93200
Porsche,Panamera,2015,93200
Land Rover,Range Rover Sport,2016,93075
BMW,M5,2014,92900
BMW,6 Series Gran Coupe,2015,92600
Land Rover,Range Rover Sport,2015,92495
Land Rover,Range Rover Sport,2015,92495
Land Rover,Range Rover Sport,2014,92400
Land Rover,Range Rover Sport,2014,92400
Chevrolet,Corvette,2017,92395
Cadillac,Escalade ESV,2016,92350
Chevrolet,Corvette,2016,92345
Cadillac,Escalade ESV,2015,92275
Cadillac,Escalade,2017,92195
BMW,6 Series,2017,92000
Land Rover,Range Rover,2016,91950
Cadillac,Escalade,2016,91950
Lotus,Evora 400,2017,91900
Lotus,Evora 400,2017,91900
Cadillac,Escalade,2015,91875
BMW,6 Series,2016,91700
Chevrolet,Corvette,2015,91650
Audi,A8,2017,91500
Maserati,Spyder,2005,91415
BMW,6 Series Gran Coupe,2017,91200
Porsche,911,2015,91030
Porsche,911,2016,91030
BMW,7 Series,2015,91000
BMW,6 Series Gran Coupe,2016,90900
Lotus,Esprit,2003,90825
Audi,A8,2016,90500
BMW,6 Series,2015,90400
BMW,7 Series,2015,90300
Land Rover,Range Rover,2015,89995
Mercedes-Benz,GL-Class,2015,89950
Mercedes-Benz,GL-Class,2016,89950
Lotus,Esprit,2002,89825
Maserati,Spyder,2004,89622
Maserati,Spyder,2003,89622
BMW,6 Series Gran Coupe,2015,89600
Tesla,Model S,2016,89500
Mercedes-Benz,CLK-Class,2008,89500
Porsche,911,2017,89400
Lexus,LX 570,2017,89380
Cadillac,Escalade,2016,89350
Cadillac,Escalade,2015,89275
Mercedes-Benz,CLK-Class,2007,89200
Acura,NSX,2005,89000
BMW,6 Series,2017,89000
Acura,NSX,2004,89000
Acura,NSX,2004,89000
Acura,NSX,2005,89000
BMW,ActiveHybrid X6,2011,88900
BMW,ActiveHybrid X6,2010,88900
Lexus,LX 570,2016,88880
Infiniti,QX80,2016,88850
Porsche,911,2016,88800
BMW,6 Series,2016,88700
Mercedes-Benz,GL-Class,2014,88600
Cadillac,Escalade ESV,2017,88495
Cadillac,Escalade Hybrid,2011,88435
Chevrolet,Corvette,2017,88395
Chevrolet,Corvette,2016,88345
Land Rover,Range Rover,2014,88300
Land Rover,Range Rover,2014,88300
BMW,6 Series,2017,88100
Dodge,Viper,2016,87895
Dodge,Viper,2017,87895
BMW,6 Series,2016,87800
Chevrolet,Corvette,2015,87650
Maserati,Coupe,2006,87577
Lexus,LS 460,2015,87500
Cadillac,CT6,2017,87495
Cadillac,CT6,2016,87465
BMW,6 Series,2015,87400
BMW,7 Series,2015,87300
Maserati,Spyder,2005,87252
Cadillac,Escalade ESV,2016,87145
Cadillac,Escalade ESV,2015,87070
Chevrolet,Corvette,2017,87015
Chevrolet,Corvette,2016,86965
Mercedes-Benz,SL-Class,2017,86950
Maserati,Coupe,2005,86877
BMW,6 Series,2015,86600
Land Rover,Range Rover,2016,86450
Cadillac,Escalade Hybrid,2013,86420
Chevrolet,Corvette,2015,86270
Cadillac,XLR,2009,86215
Cadillac,CTS-V,2017,85995
Cadillac,Escalade Hybrid,2011,85935
Cadillac,Escalade ESV,2017,85895
Cadillac,Escalade Hybrid,2012,85845
Cadillac,Escalade ESV,2015,85795
Cadillac,XLR,2008,85650
Maserati,Spyder,2003,85542
Maserati,Spyder,2004,85542
Cadillac,Escalade,2017,85495
Audi,A8,2016,85200
Maserati,Coupe,2004,85174
BMW,6 Series,2017,85100
Mercedes-Benz,SL-Class,2016,85050
Tesla,Model S,2015,85000
Dodge,Viper,2015,84995
Land Rover,Range Rover,2016,84950
Dodge,SRT Viper,2014,84885
BMW,6 Series,2016,84800
Cadillac,Escalade ESV,2016,84545
BMW,7 Series,2017,84500
Lexus,LS 460,2015,84500
Cadillac,Escalade ESV,2015,84470
Lexus,GS F,2016,84440
Toyota,Land Cruiser,2017,84325
Porsche,911,2015,84300
BMW,ActiveHybrid 7,2014,84300
BMW,ActiveHybrid 7,2015,84300
Porsche,Panamera,2016,84300
BMW,ActiveHybrid 7,2013,84300
Porsche,911,2016,84300
Cadillac,XLR,2007,84160
Cadillac,Escalade,2016,84145
Cadillac,Escalade,2015,84070
Mercedes-Benz,SL-Class,2015,84000
Cadillac,Escalade ESV,2017,83995
Cadillac,CTS-V,2016,83995
Cadillac,Escalade Hybrid,2013,83870
Toyota,Land Cruiser,2016,83825
BMW,6 Series,2015,83600
Land Rover,Range Rover,2015,83495
Cadillac,CT6,2017,83495
Cadillac,CT6,2016,83465
Chevrolet,Corvette,2017,83450
Chevrolet,Corvette,2016,83400
Land Rover,Range Rover,2014,83300
Land Rover,Range Rover,2014,83300
Cadillac,Escalade Hybrid,2012,83295
Cadillac,Escalade ESV,2015,83195
Lexus,LX 570,2015,83180
Chevrolet,Corvette,2017,83015
Chevrolet,Corvette,2015,83000
Maserati,Levante,2017,83000
Chevrolet,Corvette,2016,82965
Audi,S7,2017,82900
Audi,S7,2016,82900
Cadillac,Escalade,2017,82895
Porsche,Panamera,2015,82800
BMW,6 Series Gran Coupe,2017,82800
Porsche,Panamera,2016,82800
Cadillac,Escalade,2015,82795
Audi,RS 6,2003,82700
Land Rover,Range Rover Sport,2016,82695
Cadillac,Escalade ESV,2016,82645
Maserati,Coupe,2005,82633
Cadillac,Escalade ESV,2015,82570
Audi,S7,2015,82500
Audi,A8,2017,82500
BMW,6 Series Gran Coupe,2016,82500
BMW,7 Series,2015,82500
Lexus,LS 460,2017,82305
Lexus,LS 460,2016,82305
Lexus,LS 460,2015,82305
Chevrolet,Corvette,2015,82270
Audi,RS 4,2008,81900
Cadillac,XLR,2008,81855
Cadillac,STS-V,2009,81795
Cadillac,Escalade,2016,81545
BMW,7 Series,2017,81500
Audi,A8,2016,81500
Cadillac,Escalade,2015,81470
Cadillac,Escalade ESV,2017,81395
BMW,6 Series Gran Coupe,2015,81300
BMW,7 Series,2016,81300
Cadillac,Escalade ESV,2015,81295
Maserati,Coupe,2004,81013
BMW,7 Series,2015,81000
Cadillac,Escalade,2017,80995
Cadillac,XLR,2007,80655
Cadillac,XLR,2008,80650
BMW,6 Series,2017,80600
BMW,6 Series,2016,80300
Cadillac,Escalade,2015,80195
Toyota,Land Cruiser,2015,80155
Cadillac,Escalade ESV,2016,80045
Tesla,Model S,2015,80000
Porsche,Panamera,2016,80000
Land Rover,Range Rover Sport,2015,79995
Lotus,Evora,2014,79980
Cadillac,Escalade ESV,2015,79970
Land Rover,Range Rover Sport,2016,79950
Volkswagen,Phaeton,2004,79900
Maserati,Coupe,2006,79900
Tesla,Model S,2014,79900
Audi,S7,2017,79900
BMW,6 Series Gran Coupe,2017,79800
Maserati,Ghibli,2017,79700
Cadillac,Escalade,2016,79645
Cadillac,Escalade,2015,79570
BMW,6 Series Gran Coupe,2016,79500
Tesla,Model S,2016,79500
Chevrolet,Corvette,2017,79450
Chevrolet,Corvette,2016,79400
Audi,RS 5,2015,79200
Chevrolet,Corvette,2017,79195
BMW,6 Series,2015,79100
Land Rover,Range Rover Sport,2014,79100
Land Rover,Range Rover Sport,2014,79100
Chevrolet,Corvette,2015,79000
Cadillac,Escalade ESV,2017,78995
Lexus,LS 460,2017,78820
Lexus,LS 460,2016,78820
Lexus,LS 460,2015,78820
Cadillac,STS-V,2008,78775
Lotus,Evora,2014,78750
Cadillac,Escalade ESV,2015,78695
Lotus,Evora,2013,78600
Cadillac,Escalade ESV,2016,78570
Cadillac,Escalade ESV,2015,78570
Maserati,Ghibli,2016,78550
Cadillac,Escalade,2017,78395
Cadillac,XLR,2007,78335
BMW,6 Series Gran Coupe,2015,78300
Cadillac,Escalade,2015,78295
Porsche,Panamera,2016,78100
Porsche,Panamera,2015,78100
BMW,7 Series,2015,78000
