Make,Model,Year,MSRP
Cadillac,CTS-V Wagon,2014,63600
Cadillac,CTS-V Coupe,2014,63600
Cadillac,CT6,2017,63595
Cadillac,CT6,2016,63570
BMW,M3,2016,63500
Ford,Expedition,2016,63375
Land Rover,Range Rover Sport,2015,63350
Ford,Expedition,2017,63307
Porsche,Boxster,2015,63300
Infiniti,QX80,2016,63250
Infiniti,QX80,2015,63250
Volkswagen,Touareg,2016,63245
Cadillac,CTS-V Coupe,2013,63215
Cadillac,CTS-V Wagon,2013,63215
Cadillac,CTS-V Wagon,2012,63215
BMW,5 Series Gran Turismo,2017,63200
Mercedes-Benz,CLK-Class,2008,63200
BMW,5 Series Gran Turismo,2016,63200
Lincoln,Navigator,2016,63195
Lincoln,Navigator,2017,63195
Chevrolet,Corvette,2015,63160
GMC,Yukon Hybrid,2012,63130
Mercedes-Benz,E-Class,2016,63100
Infiniti,QX,2012,63100
Lexus,GS 450h,2016,63080
Cadillac,Escalade EXT,2012,63060
Cadillac,Escalade EXT,2013,63060
Ford,F-150,2017,63025
GMC,Yukon XL,2017,63015
BMW,5 Series Gran Turismo,2015,63000
